,phi_a,B_star_hat,w_hat,model,B_W+B_F,B_e_star_hat,L,B,d,volume,H0,sigma,OG/d,R
0,0.23,0.041169438742810996,0.751,A,0.003635763029134334,0.03753367571367666,0.8,0.28,0.11199999999999999,0.02509,1.25,1.0,0.0,0.0
1,0.24,0.029803352466352517,0.507,A,0.001390847207830892,0.028412505258521625,0.8,0.28,0.11199999999999999,0.02509,1.25,1.0,0.0,0.0
2,0.3,0.02396565833326255,0.751,B,0.003265431521957657,0.020700226811304893,0.8,0.28,0.11199999999999999,0.02501,1.25,0.997,0.0,0.01
3,0.3,0.014438365939228166,0.536,B,0.0011106958095124797,0.013327670129715686,0.8,0.28,0.11199999999999999,0.02501,1.25,0.997,0.0,0.01
4,0.27,0.008265246249744673,0.751,C,0.0021146614051981705,0.006150584844546503,0.8,0.28,0.11199999999999999,0.02495,1.25,0.995,0.0,0.02
5,0.21,0.0054867239951246136,0.625,C,0.0015000392814414282,0.003986684713683185,0.8,0.28,0.11199999999999999,0.02495,1.25,0.995,0.0,0.02
6,0.31,0.009504277209041422,0.939,D,0.0020385726488099023,0.007465704560231519,0.8,0.28,0.11199999999999999,0.02475,1.25,0.988,0.0,0.03
7,0.31,0.007645003123446245,0.751,D,0.00150029449636023,0.006144708627086015,0.8,0.28,0.11199999999999999,0.02475,1.25,0.988,0.0,0.03
8,0.24,0.09986064436671307,0.814,G,0.08835564931140577,0.011504995055307304,0.8,0.185,0.192,0.023209999999999998,0.485,0.799,0.0,
9,0.3,0.002039873561556102,0.56,H,0.0014000371877776175,0.0006398363737784847,0.8,0.39799999999999996,0.193,0.0549,1.036,0.893,0.0,
10,0.3,0.003414251182777928,0.889,H,0.0022900233456603935,0.0011242278371175344,0.8,0.39799999999999996,0.193,0.0549,1.036,0.893,0.0,
11,0.25,0.002769067507632999,0.58,I,0.0009999925056469947,0.0017690750019860044,0.8,0.237,0.096,0.01775,1.232,0.977,0.0,
12,0.25,0.004454937204816172,0.861,I,0.00250475666585228,0.0019501805389638919,0.8,0.237,0.096,0.01775,1.232,0.977,0.0,
13,0.23,0.007458285238425501,1.03,J,0.002761633629519946,0.004696651608905555,0.8,0.34299999999999997,0.192,0.03163,0.8895,0.593,0.0,
14,0.29,0.018963318198051117,0.78,K,0.0013035049232182037,0.017659813274832913,1.0,0.193,0.125,0.01228,0.777,0.541,0.0,
15,0.26,0.16309995733065236,0.551,L,0.028802335708398852,0.1342976216222535,1.0,0.151,0.14400000000000002,0.00933,0.5235,0.43,0.0,
