,phi_a,B_star_hat,omega_hat,model,B_W+B_F,B_E_star_hat,L_pp,beam,T,Disp,H0,sigma,OG/d,R,B_E0_HAT,C_r,a_1,a_3
0,0.23,0.041169438742811,0.7509999999999999,A,0.0036357630291343345,0.03753367571367666,0.8,0.28,0.112,0.02509,1.25,1.0,0.0,0.0,0.03185957345194594,6.791066236924095,0.09572067327729882,-0.13851394050431068
1,0.24,0.029803352466352517,0.507,A,0.001390847207830892,0.028412505258521625,0.8,0.28,0.112,0.02509,1.25,1.0,0.0,0.0,0.02411728350676366,7.297514558176524,0.09572067327729882,-0.13851394050431068
2,0.3,0.02396565833326255,0.7509999999999999,B,0.003265431521957657,0.02070022681130489,0.8,0.28,0.112,0.02501,1.25,0.997,0.0,0.01,0.0175708982407603,2.862276498613116,0.09594956148239991,-0.13645394665840077
3,0.3,0.014438365939228166,0.536,B,0.0011106958095124797,0.013327670129715686,0.8,0.28,0.112,0.02501,1.25,0.997,0.0,0.01,0.011312877765559752,2.5820572246775715,0.09594956148239991,-0.13645394665840077
4,0.27,0.008265246249744673,0.7509999999999999,C,0.0021146614051981705,0.006150584844546503,0.8,0.28,0.112,0.02495,1.25,0.995,0.0,0.02,0.005220778564883587,0.942686403519787,0.09610173289389043,-0.13508440395498614
5,0.21,0.005486723995124614,0.625,C,0.0015000392814414284,0.003986684713683185,0.8,0.28,0.112,0.02495,1.25,0.995,0.0,0.02,0.0033840030865684074,0.9439893821974789,0.09610173289389043,-0.13508440395498614
6,0.31,0.009504277209041422,0.9390000000000001,D,0.0020385726488099023,0.007465704560231518,0.8,0.28,0.112,0.02475,1.25,0.988,0.0,0.03,0.00633708685026427,0.7906835390460057,0.09663180060654622,-0.13031379454108408
7,0.31,0.0076450031234462455,0.7509999999999999,D,0.0015002944963602302,0.006144708627086015,0.8,0.28,0.112,0.02475,1.25,0.988,0.0,0.03,0.005215790676587482,0.8136897536952459,0.09663180060654622,-0.13031379454108408
8,0.24,0.09986064436671307,0.8140000000000001,G,0.08835564931140577,0.011504995055307304,0.8,0.185,0.192,0.02321,0.4817708333333333,0.799,0.0,,0.00976574311093318,0.08606062205238546,-0.34707821193909855,-0.007600489480668136
9,0.3,0.0020398735615561017,0.56,H,0.0014000371877776175,0.0006398363737784848,0.8,0.398,0.193,0.0549,1.0310880829015545,0.893,0.0,,0.0005431099821698103,0.059677264135571395,0.014252111702710374,-0.0688620354229256
10,0.3,0.0034142511827779283,0.889,H,0.002290023345660393,0.0011242278371175344,0.8,0.398,0.193,0.0549,1.0310880829015545,0.893,0.0,,0.000954274226340084,0.0660511799369215,0.014252111702710374,-0.0688620354229256
11,0.25,0.0027690675076329986,0.58,I,0.0009999925056469947,0.0017690750019860046,0.8,0.237,0.096,0.01775,1.234375,0.977,0.0,,0.001501637500087345,0.35803737914654493,0.09198685657943263,-0.12305863394274223
12,0.25,0.004454937204816172,0.861,I,0.00250475666585228,0.001950180538963892,0.8,0.237,0.096,0.01775,1.234375,0.977,0.0,,0.00165536465438784,0.26587762093012607,0.09198685657943263,-0.12305863394274223
13,0.23,0.007458285238425502,1.03,J,0.002761633629519946,0.004696651608905555,0.8,0.343,0.192,0.03163,0.8932291666666667,0.593,0.0,,0.003986641704201719,0.13572061257096327,-0.06336616200212129,0.12359023842785882
14,0.29,0.01896331819805112,0.78,K,0.0013035049232182035,0.017659813274832913,1.0,0.193,0.125,0.01228,0.772,0.541,0.0,,0.01499011507610416,0.29254752963292663,-0.14872060747212207,0.1558461247394752
15,0.26,0.16309995733065236,0.551,L,0.02880233570839885,0.1342976216222535,1.0,0.151,0.14400000000000002,0.00933,0.5243055555555555,0.43,0.0,,0.11399536174222212,0.9275961561025333,-0.37779280539751503,0.21059154430298577
